1D Network settings: o=[ 1.8 12.0 ] nConns=7 nHidden=12 trials=68

run,hemisphere,global_target,local_target
1,1,0.00725,0.01971,   7,  12
2,1,0.00725,0.01362,   7,  12
3,1,0.00546,0.00822,   7,  12
4,1,0.00620,0.00271,   7,  12
5,1,0.00933,0.00648,   7,  12
6,1,0.00516,0.02668,   7,  12
7,1,0.00735,0.01431,   7,  12
8,1,0.00388,0.00977,   7,  12
9,1,0.00753,0.00651,   7,  12
10,1,0.00894,0.01386,   7,  12
11,1,0.01808,0.01304,   7,  12
12,1,0.00846,0.00564,   7,  12
13,1,0.00687,0.02530,   7,  12
14,1,0.00534,0.00869,   7,  12
15,1,0.01766,0.01208,   7,  12
16,1,0.00546,0.00583,   7,  12
17,1,0.01305,0.02397,   7,  12
18,1,0.01016,0.01009,   7,  12
19,1,0.01641,0.03356,   7,  12
20,1,0.00683,0.01592,   7,  12
21,1,0.01158,0.02560,   7,  12
22,1,0.00802,0.01617,   7,  12
23,1,0.01176,0.00812,   7,  12
24,1,0.00543,0.00821,   7,  12
25,1,0.00839,0.00398,   7,  12
26,1,0.02858,0.01418,   7,  12
27,1,0.00988,0.01373,   7,  12
28,1,0.01115,0.00910,   7,  12
29,1,0.02203,0.00874,   7,  12
30,1,0.02500,0.00892,   7,  12
31,1,0.00742,0.01185,   7,  12
32,1,0.01854,0.00556,   7,  12
33,1,0.01128,0.00987,   7,  12
34,1,0.01447,0.00885,   7,  12
35,1,0.01015,0.01856,   7,  12
36,1,0.02032,0.02690,   7,  12
37,1,0.00560,0.00863,   7,  12
38,1,0.01109,0.01147,   7,  12
39,1,0.01966,0.04356,   7,  12
40,1,0.01689,0.05344,   7,  12
41,1,0.00400,0.00973,   7,  12
42,1,0.03231,0.01076,   7,  12
43,1,0.00575,0.01872,   7,  12
44,1,0.00518,0.01152,   7,  12
45,1,0.00591,0.00865,   7,  12
46,1,0.00880,0.00308,   7,  12
47,1,0.00541,0.02265,   7,  12
48,1,0.00695,0.01122,   7,  12
49,1,0.01282,0.01706,   7,  12
50,1,0.01491,0.03225,   7,  12
51,1,0.00555,0.01252,   7,  12
52,1,0.02009,0.02156,   7,  12
53,1,0.00993,0.00901,   7,  12
54,1,0.00953,0.01408,   7,  12
55,1,0.00376,0.01624,   7,  12
56,1,0.01558,0.00732,   7,  12
57,1,0.01049,0.02219,   7,  12
58,1,0.01640,0.02027,   7,  12
59,1,0.01330,0.04187,   7,  12
60,1,0.00317,0.00669,   7,  12
61,1,0.02714,0.01511,   7,  12
62,1,0.00708,0.00782,   7,  12
63,1,0.01297,0.01478,   7,  12
64,1,0.00637,0.01308,   7,  12
65,1,0.03017,0.00625,   7,  12
66,1,0.01141,0.00591,   7,  12
67,1,0.02355,0.01721,   7,  12
68,1,0.00808,0.01556,   7,  12
1,2,0.01009,0.03547,   7,  12
2,2,0.00736,0.05420,   7,  12
3,2,0.01721,0.01363,   7,  12
4,2,0.00846,0.02253,   7,  12
5,2,0.00984,0.10585,   7,  12
6,2,0.00507,0.01028,   7,  12
7,2,0.00810,0.04967,   7,  12
8,2,0.02974,0.03277,   7,  12
9,2,0.01152,0.03841,   7,  12
10,2,0.01233,0.03537,   7,  12
11,2,0.00191,0.01223,   7,  12
12,2,0.00267,0.02365,   7,  12
13,2,0.00562,0.01423,   7,  12
14,2,0.01210,0.05006,   7,  12
15,2,0.00764,0.04001,   7,  12
16,2,0.01377,0.02149,   7,  12
17,2,0.01422,0.04313,   7,  12
18,2,0.00619,0.01074,   7,  12
19,2,0.00940,0.02265,   7,  12
20,2,0.01365,0.00901,   7,  12
21,2,0.00166,0.01445,   7,  12
22,2,0.01829,0.05654,   7,  12
23,2,0.00629,0.02745,   7,  12
24,2,0.00924,0.05409,   7,  12
25,2,0.00188,0.01856,   7,  12
26,2,0.00907,0.02277,   7,  12
27,2,0.00000,0.00000,   7,  12
28,2,0.00534,0.02897,   7,  12
29,2,0.00513,0.03635,   7,  12
30,2,0.00638,0.02739,   7,  12
31,2,0.01215,0.01415,   7,  12
32,2,0.01112,0.01362,   7,  12
33,2,0.01503,0.01278,   7,  12
34,2,0.01279,0.04731,   7,  12
35,2,0.01104,0.08024,   7,  12
36,2,0.01740,0.01905,   7,  12
37,2,0.00613,0.01852,   7,  12
38,2,0.00807,0.01079,   7,  12
39,2,0.01128,0.00444,   7,  12
40,2,0.00172,0.04543,   7,  12
41,2,0.01102,0.02309,   7,  12
42,2,0.00698,0.03385,   7,  12
43,2,0.01064,0.02569,   7,  12
44,2,0.01827,0.02722,   7,  12
45,2,0.01229,0.02816,   7,  12
46,2,0.00770,0.02513,   7,  12
47,2,0.00739,0.08814,   7,  12
48,2,0.00839,0.07286,   7,  12
49,2,0.00942,0.01034,   7,  12
50,2,0.00291,0.01648,   7,  12
51,2,0.01237,0.08371,   7,  12
52,2,0.00939,0.03608,   7,  12
53,2,0.00639,0.01657,   7,  12
54,2,0.01569,0.03847,   7,  12
55,2,0.01965,0.02404,   7,  12
56,2,0.00642,0.04310,   7,  12
57,2,0.00318,0.01306,   7,  12
58,2,0.01200,0.02981,   7,  12
59,2,0.00592,0.05181,   7,  12
60,2,0.01609,0.03544,   7,  12
61,2,0.02425,0.04677,   7,  12
62,2,0.00520,0.02803,   7,  12
63,2,0.00691,0.02564,   7,  12
64,2,0.01374,0.03037,   7,  12
65,2,0.00234,0.01741,   7,  12
66,2,0.01240,0.03453,   7,  12
67,2,0.01625,0.03379,   7,  12
68,2,0.00540,0.03576,   7,  12
