2D Network settings: o=[ 4.0 18.0 ] nConns=25 nHidden=26 trials=68

run,hemisphere,global_target,local_target,nConns,nHidden
1,1,0.02576,0.05747,  25,  26
2,1,0.03350,0.03436,  25,  26
3,1,0.05065,0.03713,  25,  26
4,1,0.04100,0.02950,  25,  26
5,1,0.04758,0.02743,  25,  26
6,1,0.03570,0.03555,  25,  26
7,1,0.03201,0.04957,  25,  26
8,1,0.02709,0.02761,  25,  26
9,1,0.03857,0.04669,  25,  26
10,1,0.04085,0.03463,  25,  26
11,1,0.04056,0.03519,  25,  26
12,1,0.04541,0.03577,  25,  26
13,1,0.04979,0.02724,  25,  26
14,1,0.05220,0.04399,  25,  26
15,1,0.02974,0.03433,  25,  26
16,1,0.03050,0.04763,  25,  26
17,1,0.03488,0.05055,  25,  26
18,1,0.03409,0.05624,  25,  26
19,1,0.01559,0.05249,  25,  26
20,1,0.02647,0.03852,  25,  26
21,1,0.03681,0.05238,  25,  26
22,1,0.04575,0.03942,  25,  26
23,1,0.03942,0.04410,  25,  26
24,1,0.04110,0.04189,  25,  26
25,1,0.03951,0.02088,  25,  26
26,1,0.04062,0.03214,  25,  26
27,1,0.03547,0.02824,  25,  26
28,1,0.04179,0.03367,  25,  26
29,1,0.04395,0.02908,  25,  26
30,1,0.02912,0.04524,  25,  26
31,1,0.03047,0.02896,  25,  26
32,1,0.03766,0.03885,  25,  26
33,1,0.04640,0.03311,  25,  26
34,1,0.05417,0.03898,  25,  26
35,1,0.04277,0.03453,  25,  26
36,1,0.03387,0.03272,  25,  26
37,1,0.03681,0.04005,  25,  26
38,1,0.02664,0.03690,  25,  26
39,1,0.04584,0.03668,  25,  26
40,1,0.04869,0.02766,  25,  26
41,1,0.05006,0.03675,  25,  26
42,1,0.04034,0.03990,  25,  26
43,1,0.02723,0.03981,  25,  26
44,1,0.02010,0.04800,  25,  26
45,1,0.02214,0.04604,  25,  26
46,1,0.04081,0.03305,  25,  26
47,1,0.03764,0.03003,  25,  26
48,1,0.03891,0.04265,  25,  26
49,1,0.03438,0.03633,  25,  26
50,1,0.03634,0.05891,  25,  26
51,1,0.04070,0.03732,  25,  26
52,1,0.03896,0.03163,  25,  26
53,1,0.04849,0.03899,  25,  26
54,1,0.05916,0.02654,  25,  26
55,1,0.03864,0.03672,  25,  26
56,1,0.04833,0.03155,  25,  26
57,1,0.03249,0.03814,  25,  26
58,1,0.04171,0.04370,  25,  26
59,1,0.06886,0.01778,  25,  26
60,1,0.05633,0.03458,  25,  26
61,1,0.03616,0.05028,  25,  26
62,1,0.03010,0.03227,  25,  26
63,1,0.04189,0.03749,  25,  26
64,1,0.03198,0.03470,  25,  26
65,1,0.03605,0.04266,  25,  26
66,1,0.04183,0.03921,  25,  26
67,1,0.04287,0.02294,  25,  26
68,1,0.05602,0.02602,  25,  26
1,2,0.03036,0.04125,  25,  26
2,2,0.02873,0.05198,  25,  26
3,2,0.02848,0.02575,  25,  26
4,2,0.02603,0.02288,  25,  26
5,2,0.04541,0.01814,  25,  26
6,2,0.02077,0.04341,  25,  26
7,2,0.01835,0.02507,  25,  26
8,2,0.02237,0.04131,  25,  26
9,2,0.02860,0.04279,  25,  26
10,2,0.03746,0.02967,  25,  26
11,2,0.02467,0.01884,  25,  26
12,2,0.02774,0.03942,  25,  26
13,2,0.03493,0.03646,  25,  26
14,2,0.02795,0.04877,  25,  26
15,2,0.02542,0.04439,  25,  26
16,2,0.02041,0.05235,  25,  26
17,2,0.03119,0.04607,  25,  26
18,2,0.01871,0.06502,  25,  26
19,2,0.03166,0.04767,  25,  26
20,2,0.03550,0.04337,  25,  26
21,2,0.02345,0.05256,  25,  26
22,2,0.03555,0.02708,  25,  26
23,2,0.02267,0.01738,  25,  26
24,2,0.02803,0.05678,  25,  26
25,2,0.01719,0.03177,  25,  26
26,2,0.02610,0.03439,  25,  26
27,2,0.03567,0.02489,  25,  26
28,2,0.02716,0.03306,  25,  26
29,2,0.02436,0.04257,  25,  26
30,2,0.03146,0.04087,  25,  26
31,2,0.03313,0.04230,  25,  26
32,2,0.02444,0.04987,  25,  26
33,2,0.02044,0.03368,  25,  26
34,2,0.04176,0.03640,  25,  26
35,2,0.03260,0.05082,  25,  26
36,2,0.02908,0.04105,  25,  26
37,2,0.02464,0.03325,  25,  26
38,2,0.02353,0.05668,  25,  26
39,2,0.02238,0.04621,  25,  26
40,2,0.02372,0.06089,  25,  26
41,2,0.02661,0.03440,  25,  26
42,2,0.03092,0.03603,  25,  26
43,2,0.03765,0.03379,  25,  26
44,2,0.02011,0.03781,  25,  26
45,2,0.02158,0.04517,  25,  26
46,2,0.02343,0.04560,  25,  26
47,2,0.02696,0.03662,  25,  26
48,2,0.03126,0.03013,  25,  26
49,2,0.04223,0.04634,  25,  26
50,2,0.02711,0.05587,  25,  26
51,2,0.03322,0.03733,  25,  26
52,2,0.02505,0.05143,  25,  26
53,2,0.03033,0.03155,  25,  26
54,2,0.02326,0.03974,  25,  26
55,2,0.02255,0.03799,  25,  26
56,2,0.02487,0.04645,  25,  26
57,2,0.02909,0.03033,  25,  26
58,2,0.02715,0.02863,  25,  26
59,2,0.02708,0.05492,  25,  26
60,2,0.03295,0.04290,  25,  26
61,2,0.03627,0.04733,  25,  26
62,2,0.03388,0.04197,  25,  26
63,2,0.03919,0.03462,  25,  26
64,2,0.01482,0.04435,  25,  26
65,2,0.02503,0.02465,  25,  26
66,2,0.02892,0.03823,  25,  26
67,2,0.02830,0.03167,  25,  26
68,2,0.03490,0.03556,  25,  26
